rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1169,迷鹿了,44
2,32465121,妖桜柍烨,提督,137,迷鹿了,34
3,3546639937571372,国民老人鹿辣辣,提督,19,迷鹿了,30
4,36037586,楓眠かえで,舰长,819,迷鹿了,43
5,5788217,秋乌Akitori,舰长,1748,迷鹿了,41
6,2089656854,转生为异世界邪恶肥子,舰长,886,迷鹿了,41
7,728681,易家锌,舰长,1709,迷鹿了,39
8,35130983,陌问今昔,舰长,1996,迷鹿了,39
9,524492831,鹿雨青华,舰长,556,迷鹿了,38
10,317182120,心如丝梦如你,舰长,2043,迷鹿了,38
11,4608604,yuking007,舰长,2604,迷鹿了,38
12,76531552,Saaawyeeer,舰长,1013,迷鹿了,37
13,20671519,隔壁老仨,舰长,589,迷鹿了,37
14,36334172,比奇堡海藻,舰长,1561,迷鹿了,36
15,13992684,Lip---,舰长,1292,迷鹿了,36
16,13291397,不想再非的非酋,舰长,1539,迷鹿了,35
17,261535655,夜猫nvn,舰长,1806,迷鹿了,35
18,302458832,萌新云曦酱,舰长,888,迷鹿了,35
19,451350384,雪月yukituki,舰长,1350,迷鹿了,35
20,10799764,宅夭夭,舰长,352,迷鹿了,35
21,780791,Mia米娅-,舰长,1579,迷鹿了,35
22,1685618471,啊吧啊吧钱钱,舰长,1403,迷鹿了,34
23,404364598,顽皮苹果,舰长,1140,迷鹿了,34
24,3818139,幸灾乐祸的穿刺乐园,舰长,928,迷鹿了,34
25,4788143,みかんとオレンジ,舰长,1554,迷鹿了,34
26,33982941,神无明夜月,舰长,541,迷鹿了,34
27,79128744,氵枫禹,舰长,678,迷鹿了,34
28,91320117,樱语恋樱,舰长,1351,迷鹿了,34
29,667910950,合方三十六丶,舰长,158,迷鹿了,34
30,31839477,清风蓝云KUANG,舰长,709,迷鹿了,34
31,18252173,圣痕丶王者,舰长,641,迷鹿了,34
32,1268629186,神医呀不door,舰长,196,迷鹿了,33
33,360364727,小几乎zZ,舰长,611,迷鹿了,33
34,518227055,大白米fan,舰长,331,迷鹿了,33
35,225151206,曲丶殇魂,舰长,557,迷鹿了,33
36,1408192758,--呵呵-------,舰长,493,迷鹿了,33
37,483188794,GalahadK,舰长,453,迷鹿了,32
38,288224844,亚瑟啊亚瑟,舰长,490,迷鹿了,32
39,372254954,成为Chunhai代价是什么,舰长,57,迷鹿了,32
40,62995322,晚晚家的冒泡,舰长,342,迷鹿了,31
41,239543249,唯爱今天早睡早起了嘛,舰长,226,迷鹿了,31
42,306117137,伊纲喵-,舰长,334,迷鹿了,31
43,9353716,西木野焰,舰长,178,迷鹿了,31
44,3546606502677055,豆梓Dora,舰长,458,迷鹿了,31
45,3546765181585458,鹿牛的宝至_年愁版,舰长,105,迷鹿了,31
46,298125310,闌珊凨月,舰长,202,迷鹿了,30
47,517993259,鹿の小鸟发电机,舰长,114,迷鹿了,30
48,252057046,久别恨相逢,舰长,123,迷鹿了,30
49,324853531,我看你是想要惹,舰长,148,迷鹿了,30
50,320614834,梵星春水,舰长,125,迷鹿了,29
51,378889020,-漠云-,舰长,77,迷鹿了,29
52,15436414,碘酸铜-トン-スミ-ai-bot,舰长,148,迷鹿了,29
53,3546726361205623,Konoroyda,舰长,146,迷鹿了,28
54,29220715,G02917,舰长,130,迷鹿了,28
55,450883056,坚持对抗路的圆圈,舰长,100,迷鹿了,28
56,87966527,硅氧SIO,舰长,117,迷鹿了,28
57,668712292,五等分的成绩,舰长,79,迷鹿了,28
58,2105655730,诸葛伟格VGE,舰长,198,迷鹿了,28
59,418522198,砂糖_冬季限定,舰长,98,迷鹿了,27
60,28134309,小开关_,舰长,33,迷鹿了,27
61,525034620,旧忆-新欢,舰长,105,迷鹿了,27
62,595570007,梦中owo,舰长,62,迷鹿了,26
63,451291682,乔治肘击萝卜头,舰长,78,迷鹿了,26
64,3546554994527139,弥生千梦,舰长,22,迷鹿了,25
65,3493110204074132,_费阳阳_,舰长,57,迷鹿了,25
66,4069893,梦羽Official,舰长,103,迷鹿了,25
67,14699992,_Fumi_,舰长,42,迷鹿了,25
68,3493116004796675,寒木木喵,舰长,44,迷鹿了,24
69,3546566604360057,九條Kujou,舰长,13,迷鹿了,24
70,581760498,墨雨染江-_-,舰长,25,迷鹿了,24
71,527248270,找DELTA暖手,舰长,5,迷鹿了,24
72,522991514,照慤,舰长,4,迷鹿了,22
73,22474118,一拳兔子酱,舰长,6,迷鹿了,22
74,1056593109,78年老吃家,舰长,3,迷鹿了,21
75,687049213,权志龙muah,舰长,28,迷鹿了,21
76,6101658,神樂坂玲奈,舰长,19,迷鹿了,21
77,1834451573,小三月suki,舰长,6,迷鹿了,21
78,3494371368373149,无聊的阿清2号,舰长,15,迷鹿了,21
79,3461563740588886,打伞的失,舰长,11,迷鹿了,21
80,10853233,哈吉乃乃哈尽了,舰长,4,迷鹿了,21
81,289164522,慢性精神死亡,舰长,1,迷鹿了,21
82,477720754,晓宇gyouu,舰长,3,迷鹿了,21
