rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1293,迷鹿了,45
2,5788217,秋乌Akitori,提督,1856,迷鹿了,42
3,524492831,鹿雨青华_鹿茸菇味,舰长,680,迷鹿了,39
4,35130983,陌问今昔,舰长,2120,迷鹿了,39
5,317182120,心如丝梦如你,舰长,2167,迷鹿了,39
6,4608604,yuking007,舰长,2728,迷鹿了,38
7,76531552,Saaawyeeer,舰长,1137,迷鹿了,38
8,36334172,比奇堡海藻,舰长,1685,迷鹿了,37
9,32465121,妖桜柍烨,舰长,261,迷鹿了,37
10,13992684,Lip---,舰长,1416,迷鹿了,36
11,261535655,夜猫nvn,舰长,1930,迷鹿了,36
12,13291397,不想再非的非酋,舰长,1663,迷鹿了,35
13,451350384,雪月yukituki,舰长,1474,迷鹿了,35
14,667910950,合方三十六丶,舰长,282,迷鹿了,35
15,10799764,宅夭夭,舰长,476,迷鹿了,35
16,780791,Mia米娅-,舰长,1703,迷鹿了,35
17,31839477,清风蓝云KUANG,舰长,826,迷鹿了,35
18,252057046,久别恨相逢,舰长,247,迷鹿了,35
19,1685618471,啊吧啊吧钱钱,舰长,1526,迷鹿了,35
20,4788143,みかんとオレンジ,舰长,1678,迷鹿了,35
21,18252173,圣痕丶王者,舰长,765,迷鹿了,34
22,360364727,小几乎zZ,舰长,735,迷鹿了,34
23,225151206,曲丶殇魂,舰长,681,迷鹿了,34
24,1408192758,--呵呵-------,舰长,608,迷鹿了,33
25,483188794,GalahadK,舰长,577,迷鹿了,33
26,372254954,Chunhaihaihai,舰长,181,迷鹿了,33
27,9353716,西木野焰,舰长,302,迷鹿了,33
28,239543249,唯爱困困噜,舰长,350,迷鹿了,33
29,517993259,鹿の小鸟发电机,舰长,236,迷鹿了,32
30,15436414,碘酸铜-トン-ai-bot,舰长,272,迷鹿了,31
31,320614834,梵星春水,舰长,236,迷鹿了,31
32,87966527,硅氧SIO,舰长,241,迷鹿了,31
33,298125310,闌珊凨月,舰长,326,迷鹿了,31
34,1834451573,小三月suki,舰长,108,迷鹿了,30
35,2105655730,诸葛伟格VGE,舰长,322,迷鹿了,30
36,525034620,旧忆-新欢,舰长,229,迷鹿了,30
37,439370759,迷糊米酷,舰长,55,迷鹿了,28
38,3493116004796675,寒木木喵,舰长,90,迷鹿了,26
39,234558603,-H0tarU-,舰长,30,迷鹿了,25
40,172831654,虒頔,舰长,60,迷鹿了,25
41,1191420319,八云千落,舰长,79,迷鹿了,25
42,3546644953958869,晚晚Sumi,舰长,85,迷鹿了,25
43,32704856,鸠羽牵机,舰长,11,迷鹿了,25
44,10853233,哈吉乃乃哈尽了,舰长,56,迷鹿了,24
45,1898388772,凉风慕槿篱ovo,舰长,13,迷鹿了,24
46,517895901,前行的时间,舰长,26,迷鹿了,22
47,2779804,请叫我楠哥,舰长,7,迷鹿了,21
48,1504823028,白咲的诺维雅,舰长,21,迷鹿了,21
49,1965555550,Nukaso,舰长,3,迷鹿了,21
