rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1310,迷鹿了,45
2,5788217,秋乌Akitori,舰长,1873,迷鹿了,42
3,524492831,鹿雨青华_鹿茸菇味,舰长,697,迷鹿了,39
4,35130983,陌问今昔,舰长,2137,迷鹿了,39
5,317182120,心如丝梦如你,舰长,2184,迷鹿了,39
6,4608604,yuking007,舰长,2745,迷鹿了,38
7,76531552,Saaawyeeer,舰长,1154,迷鹿了,38
8,32465121,妖桜柍烨,舰长,278,迷鹿了,37
9,36334172,比奇堡海藻,舰长,1702,迷鹿了,37
10,13992684,Lip---,舰长,1433,迷鹿了,36
11,261535655,夜猫nvn,舰长,1947,迷鹿了,36
12,13291397,不想再非的非酋,舰长,1680,迷鹿了,35
13,451350384,雪月yukituki,舰长,1491,迷鹿了,35
14,667910950,合方三十六丶,舰长,299,迷鹿了,35
15,10799764,宅夭夭,舰长,493,迷鹿了,35
16,780791,Mia米娅-,舰长,1720,迷鹿了,35
17,31839477,清风蓝云KUANG,舰长,843,迷鹿了,35
18,1685618471,啊吧啊吧钱钱,舰长,1543,迷鹿了,35
19,252057046,久别恨相逢,舰长,264,迷鹿了,35
20,4788143,みかんとオレンジ,舰长,1695,迷鹿了,35
21,18252173,圣痕丶王者,舰长,782,迷鹿了,35
22,225151206,曲丶殇魂,舰长,698,迷鹿了,34
23,360364727,小几乎zZ,舰长,752,迷鹿了,34
24,483188794,GalahadK,舰长,594,迷鹿了,33
25,3546765181585458,鹿牛的宝至,舰长,223,迷鹿了,33
26,9353716,西木野焰,舰长,319,迷鹿了,33
27,239543249,唯爱困困噜,舰长,367,迷鹿了,33
28,517993259,鹿啾小鸟,舰长,253,迷鹿了,32
29,689495752,阿妈粽Omega,舰长,127,迷鹿了,32
30,320614834,梵星春水,舰长,253,迷鹿了,31
31,15436414,碘酸铜-トン-ai-bot,舰长,289,迷鹿了,31
32,87966527,硅氧SIO,舰长,258,迷鹿了,31
33,298125310,闌珊凨月,舰长,343,迷鹿了,31
34,2105655730,诸葛伟格VGE,舰长,339,迷鹿了,30
35,439370759,迷糊米酷,舰长,72,迷鹿了,29
36,1191420319,八云千落,舰长,96,迷鹿了,26
37,172831654,虒頔,舰长,77,迷鹿了,25
38,1898388772,凉风慕槿篱ovo,舰长,30,迷鹿了,25
39,32704856,鸠羽牵机,舰长,28,迷鹿了,25
40,355649089,船亚_果子狐版,舰长,13,迷鹿了,24
41,432937014,烛霖-末法级龙娘,舰长,5,迷鹿了,22
42,29596086,子灵灵灵灵,舰长,5,迷鹿了,22
43,2779804,请叫我楠哥,舰长,24,迷鹿了,21
44,1965555550,Nukaso,舰长,20,迷鹿了,21
45,1966599003,泠终karma,舰长,7,迷鹿了,21
46,3707005202074084,总想不叹气,舰长,5,迷鹿了,21
47,411338147,旱榔恋恋,舰长,13,迷鹿了,21
48,3707030342731858,Lanidae,舰长,4,迷鹿了,21
