rank,uid,username,type,accompany,medal_name,medal_level
1,2396905,闌珊凨雨,提督,1307,迷鹿了,45
2,5788217,秋乌Akitori,舰长,1870,迷鹿了,42
3,524492831,鹿雨青华_鹿茸菇味,舰长,694,迷鹿了,39
4,35130983,陌问今昔,舰长,2134,迷鹿了,39
5,317182120,心如丝梦如你,舰长,2181,迷鹿了,39
6,4608604,yuking007,舰长,2742,迷鹿了,38
7,76531552,Saaawyeeer,舰长,1151,迷鹿了,38
8,32465121,妖桜柍烨,舰长,275,迷鹿了,37
9,36334172,比奇堡海藻,舰长,1699,迷鹿了,37
10,13992684,Lip---,舰长,1430,迷鹿了,36
11,261535655,夜猫nvn,舰长,1944,迷鹿了,36
12,13291397,不想再非的非酋,舰长,1677,迷鹿了,35
13,451350384,雪月yukituki,舰长,1488,迷鹿了,35
14,667910950,合方三十六丶,舰长,296,迷鹿了,35
15,10799764,宅夭夭,舰长,490,迷鹿了,35
16,780791,Mia米娅-,舰长,1717,迷鹿了,35
17,1685618471,啊吧啊吧钱钱,舰长,1540,迷鹿了,35
18,31839477,清风蓝云KUANG,舰长,840,迷鹿了,35
19,252057046,久别恨相逢,舰长,261,迷鹿了,35
20,4788143,みかんとオレンジ,舰长,1692,迷鹿了,35
21,18252173,圣痕丶王者,舰长,779,迷鹿了,34
22,225151206,曲丶殇魂,舰长,695,迷鹿了,34
23,360364727,小几乎zZ,舰长,749,迷鹿了,34
24,1408192758,--呵呵-------,舰长,622,迷鹿了,33
25,483188794,GalahadK,舰长,591,迷鹿了,33
26,9353716,西木野焰,舰长,316,迷鹿了,33
27,3546765181585458,鹿牛的宝至,舰长,220,迷鹿了,33
28,239543249,唯爱困困噜,舰长,364,迷鹿了,33
29,517993259,鹿啾小鸟,舰长,250,迷鹿了,32
30,689495752,阿妈粽Omega,舰长,124,迷鹿了,32
31,320614834,梵星春水,舰长,250,迷鹿了,31
32,15436414,碘酸铜-トン-ai-bot,舰长,286,迷鹿了,31
33,87966527,硅氧SIO,舰长,255,迷鹿了,31
34,298125310,闌珊凨月,舰长,340,迷鹿了,31
35,2105655730,诸葛伟格VGE,舰长,336,迷鹿了,30
36,439370759,迷糊米酷,舰长,69,迷鹿了,29
37,1191420319,八云千落,舰长,93,迷鹿了,26
38,172831654,虒頔,舰长,74,迷鹿了,25
39,32704856,鸠羽牵机,舰长,25,迷鹿了,25
40,355649089,船亚_果子狐版,舰长,10,迷鹿了,24
41,1898388772,凉风慕槿篱ovo,舰长,27,迷鹿了,24
42,432937014,烛霖-末法级龙娘,舰长,2,迷鹿了,22
43,29596086,子灵灵灵灵,舰长,2,迷鹿了,22
44,2779804,请叫我楠哥,舰长,21,迷鹿了,21
45,1965555550,Nukaso,舰长,17,迷鹿了,21
46,3707005202074084,总想不叹气,舰长,2,迷鹿了,21
47,1966599003,泠终karma,舰长,4,迷鹿了,21
48,411338147,初夏甜茶,舰长,10,迷鹿了,21
