rank,uid,username,type,accompany,medal_name,medal_level
1,5505904,Young上尉,提督,531,迷鹿了,42
2,2396905,闌珊凨雨,舰长,1365,迷鹿了,45
3,5788217,秋乌Akitori,舰长,1928,迷鹿了,42
4,13779195,喜欢粉毛的你,舰长,891,迷鹿了,41
5,524492831,鹿雨青华_鹿有容乃大,舰长,752,迷鹿了,40
6,35130983,陌问今昔,舰长,2192,迷鹿了,39
7,4608604,yuking007,舰长,2800,迷鹿了,39
8,317182120,心如丝梦如你,舰长,2239,迷鹿了,39
9,76531552,Saaawyeeer,舰长,1209,迷鹿了,38
10,32465121,妖桜柍烨,舰长,333,迷鹿了,37
11,36334172,比奇堡海藻,舰长,1757,迷鹿了,37
12,13992684,Lip---,舰长,1488,迷鹿了,37
13,261535655,夜猫nvn,舰长,2002,迷鹿了,36
14,13291397,不想再非的非酋,舰长,1735,迷鹿了,36
15,451350384,雪月yukituki,舰长,1546,迷鹿了,36
16,360576830,DriedJellyfish,舰长,49,迷鹿了,36
17,667910950,合方三十六丶,舰长,354,迷鹿了,35
18,252057046,久别恨相逢,舰长,315,迷鹿了,35
19,10799764,宅夭夭,舰长,548,迷鹿了,35
20,780791,Mia米娅-,舰长,1775,迷鹿了,35
21,31839477,清风蓝云KUANG,舰长,894,迷鹿了,35
22,1685618471,啊吧啊吧钱钱,舰长,1598,迷鹿了,35
23,4788143,みかんとオレンジ,舰长,1750,迷鹿了,35
24,404364598,顽皮苹果,舰长,1195,迷鹿了,35
25,360364727,小几乎zZ,舰长,807,迷鹿了,34
26,372254954,Chunhaihaihai,舰长,214,迷鹿了,34
27,225151206,曲丶殇魂,舰长,753,迷鹿了,34
28,1268629186,神医呀不door,舰长,213,迷鹿了,34
29,9353716,西木野焰,舰长,374,迷鹿了,34
30,483188794,GalahadK,舰长,649,迷鹿了,34
31,239543249,唯爱困困噜,舰长,422,迷鹿了,33
32,15219991,Noooooooooooooa,舰长,502,迷鹿了,33
33,62995322,晚晚家的冒泡,舰长,404,迷鹿了,33
34,30341194,夜银之牧,舰长,557,迷鹿了,32
35,320614834,梵星春水,舰长,308,迷鹿了,32
36,700300832,由比ヶ浜フェザー,舰长,55,迷鹿了,32
37,448715396,l伊蕾娜I,舰长,49,迷鹿了,31
38,87966527,硅氧SIO,舰长,313,迷鹿了,31
39,3546606502677055,豆梓Dora,舰长,499,迷鹿了,31
40,2105655730,诸葛伟格VGE,舰长,394,迷鹿了,31
41,298125310,闌珊凨月,舰长,398,迷鹿了,31
42,581760498,墨雨染江-_-,舰长,110,迷鹿了,30
43,2719271,古埃及掌管飞蛾的神,舰长,41,迷鹿了,30
44,527248270,DYD_xx,舰长,69,迷鹿了,30
45,4576161,冬眠Nemu,舰长,322,迷鹿了,29
46,1155470657,sai_6x,舰长,129,迷鹿了,29
47,1587093255,__浮浮__,舰长,20,迷鹿了,28
48,32900809,telilun,舰长,38,迷鹿了,28
49,15566057,本班次正向华胥行驶,舰长,38,迷鹿了,28
50,432367270,索尼娅丶米哈伊里芙娜,舰长,34,迷鹿了,27
51,284526714,en瓜,舰长,128,迷鹿了,27
52,32704856,鸠羽牵机,舰长,83,迷鹿了,27
53,3546661024434639,清风吹不散离愁,舰长,22,迷鹿了,27
54,1295444228,路边の修勾Hana,舰长,2,迷鹿了,26
55,10805420,鸦鸦Corvus,舰长,65,迷鹿了,26
56,1091625771,爱吃枣椰蜜糖,舰长,10,迷鹿了,26
57,2005529991,睡意十足,舰长,20,迷鹿了,26
58,1097490093,我们永远不分离660の721,舰长,17,迷鹿了,25
59,3494370544191838,yh胡椒粉,舰长,12,迷鹿了,25
60,314581741,i云鹤,舰长,20,迷鹿了,25
61,14394062,单梦之,舰长,59,迷鹿了,25
62,399961440,浅梦_dream,舰长,36,迷鹿了,24
63,523940460,浪花-彼岸,舰长,14,迷鹿了,24
64,1753227567,萌萌下山虎w,舰长,36,迷鹿了,24
65,1926922239,無職転生い,舰长,3,迷鹿了,24
66,1965555550,Nukaso,舰长,49,迷鹿了,24
67,3546880841615865,阴暗爬行蛄蛹蠕动,舰长,52,迷鹿了,24
68,3707005202074084,总想不叹气,舰长,60,迷鹿了,23
69,3546731968989921,长梦yoo,舰长,8,迷鹿了,23
70,1429379371,岚岚不懒懒ing,舰长,8,迷鹿了,22
71,100698368,茗晨智歆,舰长,5,迷鹿了,22
72,769329,オイナリサマ,舰长,13,迷鹿了,22
73,419054936,墨阡宝宝,舰长,23,迷鹿了,21
74,3546761438169249,飞机zzzz,舰长,17,迷鹿了,21
75,3546965002422730,苏长生-5,舰长,23,迷鹿了,21
76,33510606,茉白桜べ,舰长,28,迷鹿了,21
77,3546832894429426,通贩版大恐龙,舰长,20,迷鹿了,21
